Question Number,Question,Option Number,Option,Relevant Tags
Q1,What is your age group?,1,16-25 years,"[""young adult"", ""early twenties"", ""Gen Z"", ""college age"", ""career starter"", ""emerging adult""]"
Q1,What is your age group?,2,26-35 years,"[""millennials"", ""young professional"", ""career building"", ""settling down"", ""early thirties"", ""family planning""]"
Q1,What is your age group?,3,36-50 years,"[""mid-career"", ""Gen X"", ""established professional"", ""family focused"", ""midlife"", ""experienced""]"
Q1,What is your age group?,4,50+ years,"[""mature"", ""senior"", ""experienced"", ""wisdom seeker"", ""retirement planning"", ""legacy building""]"
Q2,What's your gender?,1,Male,"[""male"", ""man"", ""masculine""]"
Q2,What's your gender?,2,Female,"[""female"", ""woman"", ""feminine""]"
Q2,What's your gender?,3,Others,"[""non-binary"", ""gender diverse"", ""gender fluid"", ""inclusive""]"
Q2,What's your gender?,4,Prefer not to say,"[""privacy"", ""undisclosed"", ""personal choice""]"
Q3,What's your relationship status?,1,Single,"[""independent"", ""solo"", ""dating"", ""unattached"", ""available"", ""self-focused""]"
Q3,What's your relationship status?,2,In a relationship,"[""partnered"", ""dating"", ""committed"", ""couple"", ""romantic bond""]"
Q3,What's your relationship status?,3,Married,"[""spouse"", ""committed partnership"", ""marital"", ""life partner"", ""family unit""]"
Q3,What's your relationship status?,4,Divorced/Widowed,"[""separated"", ""loss"", ""grief"", ""new beginning"", ""single again"", ""life transition""]"
Q4,Do you have kids?,1,Yes,"[""parent"", ""caregiver"", ""family"", ""children"", ""parenting journey"", ""responsible""]"
Q4,Do you have kids?,2,No,"[""childless"", ""child-free"", ""independent"", ""personal freedom"", ""solo lifestyle""]"
Q5,What's on your mind these days?,1,I want to feel more calm and balanced,"[""peace"", ""balance"", ""stress relief"", ""mental health"", ""tranquility"", ""mindfulness"", ""emotional stability""]"
Q5,What's on your mind these days?,2,I want to be more confident,"[""self-esteem"", ""confidence building"", ""self-assurance"", ""empowerment"", ""self-belief"", ""courage""]"
Q5,What's on your mind these days?,3,I want to improve my relationships,"[""connection"", ""communication"", ""intimacy"", ""relationship skills"", ""empathy"", ""social bonds""]"
Q5,What's on your mind these days?,4,I want clarity about my life or career,"[""direction"", ""purpose"", ""career guidance"", ""life path"", ""decision making"", ""clarity seeking""]"
Q5,What's on your mind these days?,5,I want to grow and be my best self,"[""personal growth"", ""self-improvement"", ""development"", ""potential"", ""excellence"", ""transformation""]"
Q5,What's on your mind these days?,6,I just love learning new things,"[""curiosity"", ""knowledge seeker"", ""lifelong learning"", ""intellectual growth"", ""exploration"", ""education""]"
Q5,What's on your mind these days?,7,I'm just exploring,"[""casual"", ""browsing"", ""open-minded"", ""discovery"", ""experimental"", ""curious""]"
Q6,What motivates you the most right now?,1,Feeling peaceful inside,"[""inner peace"", ""serenity"", ""calm"", ""mindfulness"", ""meditation"", ""stress-free"", ""harmony""]"
Q6,What motivates you the most right now?,2,Achieving my goals with less stress,"[""productivity"", ""efficiency"", ""work-life balance"", ""goal achievement"", ""stress management"", ""success""]"
Q6,What motivates you the most right now?,3,Discovering who I really am,"[""self-discovery"", ""identity"", ""authenticity"", ""introspection"", ""self-awareness"", ""purpose""]"
Q6,What motivates you the most right now?,4,Being a better friend/partner/parent,"[""relationships"", ""caregiving"", ""empathy"", ""connection"", ""love"", ""support"", ""interpersonal skills""]"
Q6,What motivates you the most right now?,5,Finding direction and purpose,"[""meaning"", ""life purpose"", ""direction"", ""vision"", ""mission"", ""clarity"", ""path finding""]"
Q6,What motivates you the most right now?,6,Making better life choices,"[""decision making"", ""wisdom"", ""judgment"", ""priorities"", ""values"", ""intentional living""]"
Q7,How would you relate the following with yourself?,1,I focus on logic analysis and planning,"[""analytical"", ""rational"", ""logical thinker"", ""planner"", ""strategic"", ""systematic"", ""thinking type""]"
Q7,How would you relate the following with yourself?,2,I'm driven by values emotion and do what's right,"[""empathetic"", ""values-driven"", ""emotional"", ""ethical"", ""compassionate"", ""feeling type"", ""moral""]"
Q7,How would you relate the following with yourself?,3,I concentrate on details facts and believe in practicality,"[""practical"", ""detail-oriented"", ""realistic"", ""concrete"", ""sensory"", ""present-focused"", ""sensing type""]"
Q7,How would you relate the following with yourself?,4,I love exploring new ideas and envision future possibilities,"[""intuitive"", ""visionary"", ""creative"", ""innovative"", ""imaginative"", ""future-focused"", ""intuitive type""]"
Q8,How much time do you want to spend daily on yourself?,1,5 min – Quick insight & reflection,"[""busy"", ""time-constrained"", ""quick learner"", ""efficient"", ""brief sessions"", ""micro-learning""]"
Q8,How much time do you want to spend daily on yourself?,2,10 min – A daily story + learning,"[""moderate commitment"", ""balanced"", ""daily habit"", ""consistent"", ""story lover"", ""regular practice""]"
Q8,How much time do you want to spend daily on yourself?,3,15+ min – Deep dive into wisdom,"[""dedicated"", ""deep learner"", ""committed"", ""intensive"", ""thorough"", ""wisdom seeker"", ""patient""]"
Q9,Choose your learning style,1,Step by step I like going slow and steady,"[""methodical"", ""patient"", ""gradual progress"", ""systematic learner"", ""steady growth"", ""incremental""]"
Q9,Choose your learning style,2,Give me something exciting and powerful,"[""energetic"", ""impact-driven"", ""dynamic"", ""transformational"", ""bold"", ""high-intensity""]"
Q9,Choose your learning style,3,I love deep thinking and reflection,"[""reflective"", ""philosophical"", ""contemplative"", ""analytical"", ""introspective"", ""thoughtful""]"
Q9,Choose your learning style,4,Just show me what works,"[""practical"", ""results-oriented"", ""pragmatic"", ""action-focused"", ""efficient"", ""no-nonsense""]"
